📊 ОБЩАЯ СТАТИСТИКА ДИАЛОГОВ,,,
,,,
═══════════════════════════════════════,,,
📌 ЭТАП 1: МЭТЧИНГ (все диалоги),,,
Тег,Количество,Процент от диалогов без прерывания,
(-) всё хорошо,2158,79.5%,
═══════════════════════════════════════,,,
(-) ничего не ввели,9,0.3%,
(-) ввели задачу,84,3.1%,
(-) ввели тему не по математике,166,6.1%,
(-) ввели мат тему не 5-11,32,1.2%,
"(-) ввели тему, которой пока нет, но будет",2,0.1%,
(-) ушли после мэтчинга,105,3.9%,
(-) мэтчинг не сработал,167,6.2%,
═══════════════════════════════════════,2714,100%,
"📌 ЭТАП 2: ПОСТ-МЭТЧИНГ (только ""всё хорошо"")",,,
Тег,Количество,% от успешных,% от всех
(-) решили финальную задачу,281,13.0%,10.3%
(-) увидели финальную задачу,60,2.8%,2.2%
(-) ушли после первого шага,807,37.4%,29.6%
(-) ушли после плана,543,25.2%,19.9%
ИТОГО,2158,,
,,,
═══════════════════════════════════════,,,
📊 ВОРОНКА КОНВЕРСИИ,,,
Этап,Количество,% от начала,
Всего диалогов,2723,100%,
Диалоги без прерывания сценария,2714,99.7%,
Успешный мэтчинг,2158,79.5%,
Решили финальную задачу,281,10.4%,
