📊 ОБЩАЯ СТАТИСТИКА ДИАЛОГОВ,,,
,,,
═══════════════════════════════════════,,,
📌 ЭТАП 1: МЭТЧИНГ (все диалоги),,,
Тег,Количество,Процент от диалогов без прерывания,
(-) всё хорошо,1609,76.9%,
═══════════════════════════════════════,,,
(-) ничего не ввели,6,0.3%,
(-) ввели задачу,88,4.2%,
(-) ввели тему не по математике,221,10.6%,
(-) ввели мат тему не 5-11,22,1.1%,
"(-) ввели тему, которой пока нет, но будет",0,0.0%,
(-) ушли после мэтчинга,43,2.1%,
(-) мэтчинг не сработал,109,5.2%,
═══════════════════════════════════════,2092,100%,
"📌 ЭТАП 2: ПОСТ-МЭТЧИНГ (только ""всё хорошо"")",,,
Тег,Количество,% от успешных,% от всех
(-) решили финальную задачу,278,17.3%,13.3%
(-) увидели финальную задачу,61,3.8%,2.9%
(-) ушли после первого шага,532,33.1%,25.4%
(-) ушли после плана,84,5.2%,4.0%
ИТОГО,1609,,
,,,
═══════════════════════════════════════,,,
📊 ВОРОНКА КОНВЕРСИИ,,,
Этап,Количество,% от начала,
Всего диалогов,2098,100%,
Диалоги без прерывания сценария,2092,99.7%,
Успешный мэтчинг,1609,76.9%,
Решили финальную задачу,278,13.3%,
