📊 ОБЩАЯ СТАТИСТИКА ДИАЛОГОВ,,,
,,,
═══════════════════════════════════════,,,
📌 ЭТАП 1: МЭТЧИНГ (все диалоги),,,
Тег,Количество,Процент от диалогов без прерывания,
(-) всё хорошо,1623,78.0%,
═══════════════════════════════════════,,,
(-) ничего не ввели,4,0.2%,
(-) ввели задачу,40,1.9%,
(-) ввели тему не по математике,158,7.6%,
(-) ввели мат тему не 5-11,41,2.0%,
"(-) ввели тему, которой пока нет, но будет",0,0.0%,
(-) ушли после мэтчинга,52,2.5%,
(-) мэтчинг не сработал,166,8.0%,
═══════════════════════════════════════,2080,100%,
"📌 ЭТАП 2: ПОСТ-МЭТЧИНГ (только ""всё хорошо"")",,,
Тег,Количество,% от успешных,% от всех
(-) решили финальную задачу,273,16.8%,13.1%
(-) увидели финальную задачу,115,7.1%,5.5%
(-) ушли после первого шага,531,32.7%,25.5%
(-) ушли после плана,135,8.3%,6.5%
ИТОГО,1623,,
,,,
═══════════════════════════════════════,,,
📊 ВОРОНКА КОНВЕРСИИ,,,
Этап,Количество,% от начала,
Всего диалогов,2084,100%,
Диалоги без прерывания сценария,2080,99.8%,
Успешный мэтчинг,1623,78.0%,
Решили финальную задачу,273,13.1%,
