📊 ОБЩАЯ СТАТИСТИКА ДИАЛОГОВ,,,
,,,
═══════════════════════════════════════,,,
📌 ЭТАП 1: МЭТЧИНГ (все диалоги),,,
Тег,Количество,Процент от диалогов без прерывания,
(-) всё хорошо,2474,78.5%,
═══════════════════════════════════════,,,
(-) ничего не ввели,6,0.2%,
(-) ввели задачу,81,2.6%,
(-) ввели тему не по математике,221,7.0%,
(-) ввели мат тему не 5-11,47,1.5%,
"(-) ввели тему, которой пока нет, но будет",2,0.1%,
(-) ушли после мэтчинга,140,4.4%,
(-) мэтчинг не сработал,187,5.9%,
═══════════════════════════════════════,3152,100%,
"📌 ЭТАП 2: ПОСТ-МЭТЧИНГ (только ""всё хорошо"")",,,
Тег,Количество,% от успешных,% от всех
(-) решили финальную задачу,366,14.8%,11.6%
(-) увидели финальную задачу,94,3.8%,3.0%
(-) ушли после первого шага,916,37.0%,29.0%
(-) ушли после плана,528,21.3%,16.7%
ИТОГО,2474,,
,,,
═══════════════════════════════════════,,,
📊 ВОРОНКА КОНВЕРСИИ,,,
Этап,Количество,% от начала,
Всего диалогов,3158,100%,
Диалоги без прерывания сценария,3152,99.8%,
Успешный мэтчинг,2474,78.5%,
Решили финальную задачу,366,11.6%,
