dialog_grade,canonical_topic,frequency
6,буквенные выражения. положительные и отрицательные числа,12
5,graphs and measures of central tendency,5
7,соотношения между сторонами и углами треугольника,4
10,перпендикулярность в пространстве,4
8,на функции повышенной сложности,3
5,"десятичные дроби. сравнение. сложение и вычитание , умножение десятичной дроби на натуральное число",2
9,числовые последовательности,2
5,материала за 5 класс,1
6,прямоугольная система координат,1
6,раскрытие скобок. подобные слагаемые,1
5,десятичные дроби,1
5,сложение и вычитание смешанных чисел,1
6,"сложение и вычитание, умножение и деление чисел с разными знаками",1
6,решение уравнений,1
7,"неравенство треугольника, соотношения между сторонами и углами треугольника",1
7,"геометрия ., понятие функции. линейная функция, роль коэффициентов, график",1
7,параллельные прямые,1
7,преобразование целых выражений,1
7,прямоугольные треугольники,1
7,линейное уравнение с двумя переменными,1
7,решение систем уравнений,1
7,сумма углов треугольника,1
8,контрольные вопросы,1
8,диагностическая,1
8,на функции,1
8,неравенства,1
5,"округление, сложение и вычитание десятичных дробей",1
5,introduction to equations,1
8,понятие функции,1
8,неравенства. системы уравнений,1
8,решение неравенств и их систем,1
8,теорема пифагора и начала тригонометрии,1
8,"функции y =x², y = x³, y = ٧x, y = х ; графическое решение уравнений и систем уравнений",1
9,арифметическая прогрессия,1
8,тригонометрические функции острого угла прямоугольного треугольника,1
8,функции,1
9,испытания бернулли,1
9,неравенства с двумя переменными и их системы,1
9,обобщающий урок,1
9,описательная статистика,1
9,последовательности,1
9,правильные многоугольники,1
9,движения,1
9,действия с корнем н-ной степени. решение уравнений. решение неравенств методом интервалов,1
9,решение треугольников,1
9,решение геометрических задач с помощью скалярного произведения,1
10,вычисления и преобразования. неравенства. показательные уравнения и неравенства . 12 баллов,1
9,число π. длина окружности,1
10,"комбинаторика. классическая вероятность. испытания бернулли, теоремы сложения и умножения. совместные и несовместные события. зависимые и независимые события",1
10,многогранники,1
10,перпендикулярность,1
10,пирамида. элементы пирамиды. усеченная пирамида. площадь поверхности пирамиды. объем пирамиды,1
10,углы в пространстве,1
10,"угол между прямой и плоскостью. перпендикулярность прямой и плоскости, теорема о трёх перпендикулярах. двугранный угол, угол между плоскостями, перпендикулярность плоскостей. прямоугольный параллелепипед и его свойства",1
10,функции и их свойства. квадратный трёхчлен всероссийская,1
11,векторы и координаты в пространстве,1
11,движения,1
11,комплексные числа,1
11,стереометрии,1
11,тела вращения,1
