dialog_grade,canonical_topic,frequency
5,многоугольники. тела и фигуры в пространстве,6
6,представление данных. наглядная геометрия. фигуры на плоскости,6
6,итоговая,5
6,положительные и отрицательные числа,4
5,десятичные дроби,4
8,итоговая,4
7,координаты и графики. функции,3
7,системы линейных уравнений,3
10,углы и расстояния,3
9,итоговая,3
6,натуральные числа,3
5,итоговая,2
6,выражения с буквами,2
8,уравнения и неравенства. системы уравнений,2
9,в формате огэ,2
7,итоговая,2
6,итоговая всероссийская,1
5,взаимно простые числа. нод и нок,1
5,десятичные дроби: умножение и деление,1
5,умножение десятичных дробей,1
5,обыкновенные дроби,1
6,по материалам повторения,1
7,углы,1
7,числа и вычисления: рациональные числа,1
7,формулы сокращенного умножения,1
7,алгебраические выражения,1
7,using trigonometric ratios to find length использование тригонометрических отношений для нахождения длины,1
6,проценты,1
6,сложение и вычитание отрицательных и положительных чисел,1
8,окружность,1
8,итоговая переводная за курс 8 класса,1
8,итоговая за курс 8 класса,1
7,числа и вычисления: степень с натуральным показателем. алгебраические выражения: действия с многочленами. уравнения и системы уравнений: линейные уравнения,1
8,функции,1
8,по геометрии,1
9,административная,1
8,площадь. нахождение площадей треугольников и многоугольных фигур. площади подобных фигур. теорема пифагора и начала тригонометрии,1
8,четырёхугольники,1
9,правильные многоугольники,1
9,функции,1
9,правильные многоугольники. длина окружности и площадь круга. вычисление площадей. преобразование подобия. метрические соотношения в окружности,1
10,"взаимное расположение прямых и плоскостей в пространстве , параллельность прямых и плоскостей в пространстве",1
10,"многогранники , векторы в пространстве",1
10,многогранники. векторы в пространстве,1
10,перпендикулярность прямых в пространстве,1
