dialog_grade,canonical_topic,frequency
7,формулы сокращенного умножения,4
10,различные методы решения тригонометрических уравнений и неравенств,4
8,соотношения между сторонами и углами прямоугольного треугольника,2
8,пересечение и объединение множеств,2
8,числовые неравенства и их свойства,2
10,углы и расстояния,2
10,простейшие тригонометрические неравенства,2
6,умножение и деление положительных и отрицательных чисел,1
6,положительные и отрицательные числа,1
6,буквенные выражения. положительные и отрицательные числа,1
5,сложение и вычитание десятичных дробей,1
5,действия с дробями,1
5,действия с десятичными дробями. умножение на натуральное число. алгоритм умножения десятичной дроби на натуральное число,1
5,действия с десятичными дробями,1
7,признаки равенства прямоугольных треугольников,1
8,метрические соотношения в прямоугольном треугольнике. теорема пифагора,1
7,функции. линейная функция,1
8,применение подобия к решению задач. соотношения между сторонами и углами прямоугольного треугольника,1
9,геометрические преобразования,1
9,действия с корнем н-ной степени. решение уравнений. решение неравенств методом интервалов,1
7,линейные уравнения,1
6,умножение и деление рациональных чисел,1
6,уравнения. с помощью уравнений,1
9,решение типовых задач огэ геометрическая прогрессия,1
9,неравенства с двумя переменными,1
9,длина окружности и площадь круга,1
9,"темы начальные геометрические сведения , параллельные прямые",1
10,многогранники,1
10,перпендикулярность в пространстве,1
10,контрольная по 7-му модулю,1
10,задачи повышенной сложности углы и расстояния . элементы сферической геометрии: геодезические линии на земле,1
10,производная. примеры решения задач,1
10,по тригонометрии 90 мин,1
10,тригонометрические формулы,1
10,"степенная функция с натуральным показателем, степенная функция с целым показателем, функции",1
10,тригонометрические функции и их свойства. основные тригонометрические тождества и формулы. простейшие тригонометрические уравнения,1
11,векторы и координаты в пространстве,1
11,обобщающий урок,1
11,скалярное произведение векторов,1
