dialog_grade,canonical_topic,frequency
5,десятичные дроби,636
5,многоугольники. тела и фигуры в пространстве,624
6,представление данных. наглядная геометрия. фигуры на плоскости,472
7,координаты и графики. функции,253
6,итоговая,216
5,итоговая,204
7,итоговая,155
8,итоговая,121
6,положительные и отрицательные числа,111
7,системы линейных уравнений,87
5,"округление, сложение и вычитание десятичных дробей",78
9,итоговая,52
7,"параллельные прямые, сумма углов треугольника. неравенство треугольника. прямоугольный треугольник и его свойства",52
7,линейные уравнения,39
9,правильные многоугольники. длина окружности и площадь круга. вычисление площадей. преобразование подобия. метрические соотношения в окружности,35
7,числа и вычисления: делимость. функции: линейная функция,32
6,сложение и вычитание отрицательных и положительных чисел,31
6,решение уравнений,30
8,уравнения и неравенства. линейные неравенства и системы неравенств,29
10,многогранники. векторы в пространстве,29
8,функции,28
5,умножение и деление десятичных дробей,27
6,дистанционный урок.домашняя в я-классе,27
8,площадь. нахождение площадей треугольников и многоугольных фигур. площади подобных фигур. теорема пифагора и начала тригонометрии,19
8,теорема пифагора и начала тригонометрии,19
10,многогранники. объёмы многогранников,17
5,обыкновенные дроби,17
6,выражения с буквами,17
10,перпендикулярность прямых в пространстве,15
9,числовые последовательности,15
9,неравенства,14
7,алгебраические выражения,13
8,окружность,12
10,углы и расстояния,11
7,дистанционный урок.касательная к окружности.посмотреть видеоурок в,10
8,уравнения и неравенства: дробно-рациональные уравнения,10
6,переводная,8
7,алгебраические выражения: многочлены. алгебраические выражения: формулы сокращённого умножения,8
5,проценты. диаграммы,8
10,итоговая,8
7,формулы сокращенного умножения,7
7,окружность,7
5,действия с десятичными дробями,7
10,годовая,7
5,натуральные числа. действия с натуральными числами,7
5,многогранники. изображение многогранников. модели пространственных тел,6
11,итоговая,6
5,деление десятичных чисел,6
6,координатная плоскость,6
5,умножение и деление десятичных дробей. площади,6
9,решение треугольников с помощью тригонометрических соотношений. скалярное произведение векторов,6
5,триместровой,5
10,перпендикулярность прямых и плоскостей. углы между прямыми и плоскостями,5
7,окружность и круг. геометрические построения,5
7,функции,5
6,приведение подобных слагаемых и решение уравнений,5
6,координаты на плоскости,5
8,площадь,5
