dialog_grade,canonical_topic,frequency
5,действия с десятичными дробями,43
5,сложение и вычитание десятичных дробей,25
8,системы линейных неравенств с одной переменной и их решение,22
6,приведение подобных слагаемых. коэффициент,18
5,сравнение десятичных дробей,17
6,свойства действий с рациональными числами,13
6,решение уравнений,12
7,график линейного уравнения с двумя переменными,11
9,"формулы n-го члена арифметической и геометрической прогрессий, суммы первых n членов",11
6,"координаты точки на плоскости, абсцисса и ордината",10
6,раскрытие скобок,10
10,формулы двойного и тройного аргументов. решение тригонометрических уравнений с табличными значениями тригонометрических функций,9
7,применение различных способов для разложения на множители,9
7,"окружность, вписанная в угол",9
5,"сравнение, сложение и вычитание дробей с разными знаменателями",9
6,арифметические действия с положительными и отрицательными числами,9
6,построение графиков по формуле (линейная зависимость),9
7,разложение на множители с помощью квадрата суммы и квадрата разности,8
5,десятичная запись дробных чисел. сравнение десятичных дробей,7
11,задачи с параметрами,6
7,взаимное расположение окружности и прямой. касательная и секущая к окружности,6
6,рациональные числа,6
8,"вписанные и центральные углы, угол между касательной и хордой",6
8,применение теоремы пифагора при решении практических задач,6
7,преобразование целого выражения в многочлен,6
6,подобные слагаемые,5
8,числовые неравенства,5
8,теорема об отрезках пересекающихся хорд. теоремы об отрезках касательных и секущих,5
7,числовые промежутки,5
8,неравенство с одной переменной,5
5,примеры вычислений с дробями,5
10,тригонометрические тождества,5
10,решение тригонометрических уравнений,5
7,системы двух линейных уравнений с двумя неизвестными,5
9,длина дуги окружности,5
5,задачи на совместную работу,5
6,решение текстовых задач,5
7,линейная функция,4
9,задание огэ,4
8,функция y = ax2+bx+c и её свойства,4
7,разложение на множители суммы и разности кубов,4
9,"понятие арифметической прогрессии. формула общего члена, свойства",4
5,решение заданий впр,4
5,раскрытие скобок,4
10,угол между прямой и плоскостью,4
5,правило деления десятичной дроби на степени 10,4
7,формулы сокращённого умножения. разность квадратов,4
6,деление рациональных чисел,4
6,действие деления,4
6,координатная плоскость,4
8,определение степени с целым отрицательным показателем. свойства степени с целым показателем,4
7,умножение разности двух выражений на их сумму,4
10,решение уравнений cos x=a,3
9,понятие числовой последовательности. способы задания последовательностей. свойства последовательностей,3
5,рассуждения от противного,3
5,округление чисел. прикидки,3
11,график линейного уравнения с двумя переменными,3
10,двугранный угол. угол между двумя плоскостями,3
5,умножение дробей,3
5,составные задачи на дроби,3
5,сложение и вычитание дробей с разными знаменателями,3
9,изображение членов арифметической и геометрической прогрессий точками на координатной плоскости,3
8,числовые промежутки,3
8,свойства биссектрисы угла,3
8,решение линейных уравнений с параметром,3
8,преобразование степенных выражений. стандартный вид числа,3
7,умножение многочлена на многочлен.разложение многочлена на множители способом группировки,3
7,умножение многочлена на число,3
8,алгебра 11.32. пересечение и объединение множеств 11.33. числовые промежутки геометрия 4.2 градусная мера дуги окружности,3
8,графическая интерпретация уравнения с двумя переменными и систем линейных уравнений с двумя переменными,3
6,пройденного. пропорции. проценты,3
7,случайный опыт и случайное событие,3
7,случайная изменчивость,3
7,системы уравнений,3
7,подсчет двумя способами,3
7,расстояние от точки до прямой. расстояние между параллельными прямыми,3
7,алгебра тема 13. преобразование целых выражений геометрия признаки равенства прямоугольных треугольников,3
6,сравнение рациональных чисел,3
7,двугранный угол. угол между двумя плоскостями,3
7,график функции,3
5,нахождение целого по его части,3
5,деление на натуральное число. алгоритм деления дроби на натуральное число,3
10,формулы двойного угла,2
10,экспонента. производная экспоненты. разложение экспоненты в ряд,2
7,возведение двучлена в степень,2
5,круги эйлера,2
10,угол между прямыми в пространстве. перпендикулярность прямых в пространстве (с использованием куба),2
10,физический смысл производной,2
6,с помощью уравнений,2
11,"прямоугольная система координат в пространстве. простейшие задачи в координатах. симметрия в пространстве; центр, ось и плоскость симметрии фигуры",2
5,нахождение целого по значению его дроби,2
5,объем прямоугольного параллелепипеда,2
10,преобразование тригонометрических выражений,2
10,замечательные пределы,2
10,испытания бернулли. формула бернулли,2
10,кр тригонометрия 1,2
10,параллелепипед,2
10,площадь ортогональной проекции многоугольника,2
9,треугольники общего вида,2
10,"вычисление элементов многогранников: рёбра, диагонали, углы",2
10,задачи о мгновенной скорости и о касательной к графику функции. понятие производной,2
5,упражнения на,2
9,"правильные многоугольники, вычисление их элементов",2
9,пробный экзамен по теории вероятностей и статистике,2
7,прямая пропорциональность,2
7,прямоугольные треугольники и некоторые их свойства,2
7,прямоугольный треугольник с углом 30 градусов,2
7,разложение разности квадратов на множители,2
7,вынесение общего множителя за скобки,2
7,и систематизация системы линейных уравнений,2
7,касательная к окружности,2
7,координатная плоскость,2
9,решение геометрических задач повышенной сложности,2
9,параллельный перенос и поворот,2
9,"площадь круга, сектора, сегмента",2
9,подобные треугольники в окружности,2
5,"умножение и деление десятичных дробей на 10,100, 1000 и тд",2
5,умножение на десятичную дробь (часть 4),2
8,теорема пифагора и её применение,2
8,"функции, описывающие прямую и обратную пропорциональные зависимости, их графики",2
6,представление числовой информации на графиках,2
9,гиперболы,2
8,проверочная по свойствам арифметического корня,2
8,"решение неравенств, содержащих дроби",2
8,решение прямоугольных треугольников,2
8,решение текстовых задач,2
8,решение уравнений,2
8,составление дробного рационального уравнения по условию задачи,2
8,теорема пифагора,2
6,методом уравнения,2
8,графики функций у = k x,2
6,арифметические действия с положительными и отрицательными числами. подобные слагаемые,2
7,расстояние между точками,2
7,решение уравнений с использованием формул сокращенного умножения,2
11,из егэ,2
11,первообразная. основное свойство первообразной. таблица первообразных,2
11,угол между прямой и плоскостью,2
5,десятичные и обыкновенные дроби,2
11,игра крестики-нолики,2
11,графическое решение уравнений и неравенств в параметрами,1
11,"экстремумы функций многих переменных, неравенства о средних",1
5,взвешивания и переливания,1
5,деление смешанных чисел,1
5,десятичная запись дробей,1
5,десятичные дроби,1
5,"задачи на нахождение части от числа, выраженной дробью",1
5,зачет по математике,1
11,задачи на первообразную из егэ,1
11,функциональные ряды. область определения. поточечная сходимость функционального ряда. примеры. понятие степенного ряда. область его сходимости. теорема абеля. примеры. разложение функций в степенные ряды,1
11,умножение дробей,1
11,теории и открытого банка заданий егэ по математике профильного уровня,1
11,стереометрия. куб,1
11,построение и исследование математических моделей реальных ситуаций с помощью систем уравнений с параметрами,1
11,обобщающее,1
11,моделирование банковских операций: вклады,1
11,логарифмическая функция и её свойства,1
11,координаты и векторы в стереометрии,1
11,использование графиков функций для решения уравнений и систем,1
11,"иррациональные уравнения, неравенства с параметрами",1
5,на дроби,1
5,молекулярная и эмпирическая формулы,1
11,вычисление объёмов тел с помощью определённого интеграла. объём конуса,1
11,взаимное расположение окружности и прямой. касательная и секущая к окружности,1
11,векторы в пространстве. операции с векторами. координаты вектора. действия с векторами в координатной форме,1
11,вариант егэ. вторая часть,1
11,вариант егэ,1
6,"перпендикуляр, параллел шулуунууд",1
7,сумма углов треугольника. решение простейших задач,1
7,составление дробного рационального уравнения по условию задачи,1
7,свойства биссектрисы угла,1
7,с р 5 примеров,1
7,рно,1
7,решение уравнений,1
7,раскрытие скобок,1
6,и мцко ( изученного). уравнения,1
6,"задачи на построение. построение отрезка равного данному с помощью циркуля и линейки. построение треугольника, равного данному по трем сторонам. с",1
6,гүдгэр олон өнцөгтийн дотоод өнцгүүдийн нийлбэр,1
6,арифметические действия с положительными и отрицательными числами. коэффициент,1
8,графическое решение уравнений и неравенств в параметрами,1
8,графический способ решения систем,1
8,"график функции, чтение свойств функции по её графику. примеры графиков функций, отражающих реальные процессы",1
8,взаимное расположение двух окружностей. общие касательные двух окружностей,1
8,вероятности событий,1
7,числовые неравенства,1
7,формулы сложения. вывод формул,1
6,решение примеров и задач,1
6,решение заданий впр,1
6,распределительное свойство умножения,1
8,площадь ортогональной проекции многоугольника,1
8,первый признак подобия,1
8,объем прямоугольного параллелепипеда,1
8,методом уравнения,1
8,квадратичный трехчлен,1
8,задачи на первообразную из егэ,1
8,еще одна формула корней квадратного уравнения,1
8,длина дуги окружности,1
8,деление рациональных чисел,1
8,гүдгэр олон өнцөгтийн дотоод өнцгүүдийн нийлбэр,1
6,паралелограм,1
6,округление чисел. прикидки,1
6,коэффициент,1
6,кенгуру,1
6,исправка трећег писменог задатка,1
8,теорема безу,1
8,"соотношения между сторонами и углами прямоугольного треугольника. , соотношения между сторонами и углами прямоугольного треугольника",1
8,сложение и умножение числовых неравенств,1
8,системы двух линейных уравнений с двумя неизвестными,1
8,"синус, косинус, тангенс углов 30, 45, 60 градусов",1
8,свойство описанного четырехугольника,1
8,решение текстовых задач (движение и работа),1
8,решение заданий впр,1
8,подобные треугольники в окружности,1
9,графический способ решения систем,1
9,графическая интерпретация уравнения с двумя переменными и систем линейных уравнений с двумя переменными,1
9,"графики функций: y = kx, y = kx + b, y=k x, y=x³, y=vx, y= x",1
9,графики функций у = k x,1
9,геометрическая задача на доказательство,1
7,"признаки делимости на 2, 4, 8, 5, 3, 6, 9, 10, 11",1
7,получение коллоидного раствора,1
7,подобные треугольники в окружности,1
7,"первый признак равенства треугольников , второй признак равенства треугольников",1
7,параллельный перенос и поворот,1
7,объем прямоугольного параллелепипеда,1
7,вероятности событий,1
7,алгебра 11.32. пересечение и объединение множеств 11.33. числовые промежутки геометрия 4.2 градусная мера дуги окружности,1
6,числовые промежутки,1
6,хамар ба босоо өнцөг,1
6,равные множества,1
6,работа в тетради на печатной основе,1
6,прямая и обратная пропорциональные зависимости,1
6,представление рациональных чисел в виде конечных или бесконечных десятичных дробей,1
6,площадь поверхности цилиндра,1
9,20 задания в формате огэ,1
9,1 и 2 части огэ,1
8,числовые неравенства и их свойства,1
8,центральные вписанные углы . задание из сборника огэ,1
8,формирующая работа,1
8,углы между хордами и секущими,1
8,тригонометрические функции острого угла в прямоугольном треугольнике. определения. . пропорциональные отрезки в прямоугольном треугольнике,1
8,тригонометрические тождества,1
5,"умножение на 0,1; 0,01; 0,001 деление на 0,1; 0,01; 0,001",1
5,умножение дробей 2. деление дробей,1
5,"угол. прямой, острый, тупой и развёрнутый углы",1
5,"сокращение, сравнение, сложение и вычитание обыкновенных дробей",1
5,сложение и вычитание обыкновенных дробей,1
5,сложение и вычитание десятичных дробей (часть 3),1
9,новые типы задач огэ,1
9,математическое ожидание и дисперсия изученных распределений,1
9,корни n-й степени. степень с рациональным показателем,1
9,задание 6,1
9,дисперсия случайной величины,1
9,решение систем уравнений второй степени с одной переменной,1
9,решение прямоугольных треугольников,1
9,решение пробного варианта по материалам огэ,1
9,разбор задания 11 графики функций,1
9,радианная мера угла,1
7,"линейная функция, график которой проходит через две заданные точки",1
7,линейная функция и ее график,1
7,"круг, свойства круга",1
7,ижил хуваарьтай бутархайн нийлбэр ба ялгавар,1
7,графы. вершины и рёбра,1
7,графическая интерпретация уравнения с двумя переменными и систем линейных уравнений с двумя переменными,1
7,прямоугольная система координат на плоскости,1
7,"противоположные утверждения, доказательства от противного",1
9,проверочная по свойствам арифметического корня,1
9,проверочная по 1-5 и 21 номеру,1
9,преобразование выражений содержащих корни и степени,1
9,представление данных. описательная статистика,1
9,правильные многоугольники,1
5,формирующая работа,1
5,факториал,1
10,задачи повышенной сложности углы и расстояния . элементы сферической геометрии: геодезические линии на земле,1
10,длина дуги. радианное измерение дуг и углов. единичная окружность. определение тригонометрических функций,1
10,графическое решение уравнений и неравенств в параметрами,1
10,выпуклые многогранники. теорема эйлера. правильные и полуправильные многогранники,1
9,"числа и вычисления (проценты, отношения, пропорции)",1
9,четырехугольники,1
9,"хурд-хугацааны график байгуулах, хэрэглэх",1
9,"функция, обратная данной",1
9,формулы суммы первых n членов арифметической прогрессии и ее применений к решению задач. примеры 1 - 3,1
9,уравнения с параметром,1
9,скалярное произведение векторов,1
9,свойства дисперсии,1
9,решение текстовых задач на движение по воде,1
10,построение графиков. асимптоты,1
10,понятие числовой последовательности. способы задания последовательностей. свойства последовательностей,1
10,понятие предела. непрерывная функция,1
10,понятие о производной,1
10,"площадь боковой поверхности и поверхности правильной пирамиды, теорема о площади боковой поверхности усечённой пирамиды",1
10,пирамиды,1
10,многогранник и его элементы,1
10,"медиана прямоугольного треугольника, проведенная из вершины прямого угла. теорема вариньона",1
10,лекция 10,1
10,конус. усеченный конус,1
10,"иррациональные уравнения, неравенства с параметрами",1
10,случайная величина. распределение вероятностей. диаграмма распределения,1
10,системы двух линейных уравнений с двумя неизвестными,1
10,"синус, косинус и тангенс двойного угла. практикум",1
10,решение заданий 1 части егэ,1
10,расстояние между точками,1
10,разбор вариантов егэ,1
10,работа в яклассе. открыта до 22.00 27 марта,1
10,прямая призма. сечения,1
10,простейшие свойства тангенса и котангенса,1
10,производная. техника дифференцирования,1
10,призма. прямая и наклонная призмы. правильная призма,1
10,"призма, ее свойства",1
10,призма и параллелепипед. элементы призмы. площадь поверхности призмы. объем призмы,1
10,призма,1
10,"преобразование выражений, содержащих логарифмы, логарифмическая функция, её свойства и график",1
5,"площадь и периметр прямоугольника и многоугольников, составленных из прямоугольников, единицы измерения площади",1
5,обыкновенных дробей,1
5,новая запись числа,1
10,формула полной вероятности,1
11,случайная величина. распределение вероятностей. диаграмма распределения,1
11,системы уравнений,1
11,решение текстовых задач,1
11,решение геометрических задач из 9 варианта,1
